HASI
INN
MFA
EQIX
FR
EXR
NHI
PCH
RC
JBGS
VICI
PSB
CLI
UDR
DEI
BRMK
CMO
CPT
EGP
SNR
DOC
CTO
HTA
HHC
OLP
OHI
ALEX
HIW
NLY
STAR
DRH
BXP
DX
ADC
BRX
AGNC
UBA
NYMT
LSI
NNN
RPT
OFC
WELL
RWT
DEA
DHC
CPLG
RPAI
NRZ
ABR
EQC
ORC
ARI
RLJ
COR
SVC
QTS
UNIT
CUBE
AIRC
MAA
MGP
AMH
WPC
FPI
BDN
WY
ARR
NXRT
WSR
APLE
UHT
GNL
CLNY
BXMT
NTST
DRE
PEB
SITC
PMT
LAMR
ELS
ARE
PGRE
SKT
PSA
BPYU
KREF
PEAK
ESS
HR
UMH
RHP
AVB
CLDT
KRG
LADR
VER
EPRT
IRT
COLD
PLYM
AKR
CTT
MNR
CIM
MAC
GPMT
ACC
BRT
KRC
SLG
MPW
ROIC
ALX
O
TRTX
TWO
APTS
CONE
REXR
GMRE
STAG
CTRE
SBAC
OUT
VTR
CUZ
FRT
NSA
AAT
ACRE
CLNC
LTC
RYN
SUI
AFIN
ILPT
STOR
VNO
BFS
EPR
UBP
SPG
GLPI
HT
KIM
EQR
BNL
GEO
REG
PLD
DLR
STWD
IVR
CIO
IRM
WRI
ANH
CHCT
CXW
CXP
ESRT
FCPT
SBRA
AIV
HST
AMT
