BRY
TTI
MTDR
PTEN
DMLP
TALO
AR
MRO
RIG
CPE
LPI
SM
BORR
PBA
SWX
ESTE
EOG
CNQ
TOT
PDCE
VET
BIPC
DEN
WLL
MUR
HP
OAS
DVN
MGY
EQT
OMP
GPRK
PDS
EC
KRP
PBR
XOG
HESM
SBR
CLR
PARR
NBR
SWN
PXD
APA
COG
ERF
CHK
PTR
OXY
BSM
RRC
CPG
E
MNRL
OVV
CPK
VNOM
FANG
WTI
CVE
SSL
TPL
CNX
KOS
XEC
CRC
CEQP
CRK
OKE
BCEI
