MOFG
RBB
FBK
AMTBB
GABC
STBA
CASH
TSC
BANF
HTH
WBS
EBSB
ISBC
OBNK
AMNB
STXB
TCBI
FRME
TRMK
TRST
WSBC
NBTB
UBSI
CADE
LBC
CFB
EQBK
C
FFBC
MSBI
IBCP
PNC
STL
FULT
SHG
WABC
TCF
UBS
THFF
NTRS
PFIS
INBK
CARE
MCB
CCB
PNFP
FBP
RNST
CIT
IBTX
HBNC
PB
SI
OFG
FNLC
TFC
PACW
CPF
HWC
STT
FBNC
WAL
COLB
CTBI
AMTB
PPBI
BBD
CVBF
GWB
LBAI
BANR
CCBG
SMMF
SYBT
CMA
JPM
USB
WTFC
SBSI
CBSH
RBCAA
FFIC
SBCF
WASH
FMBI
HMST
BNS
CSTR
GSBC
HOMB
GBCI
MFG
PFC
HONE
HAFC
WFC
MCBC
BPFH
DB
OSBC
ACBI
EWBC
MBWM
SFNC
SSB
NWBI
INDB
ONB
SRCE
WAFD
WTBA
EFSC
UVSP
FIBK
FHN
KEY
BSRR
SASR
LOB
GNTY
NBHC
BK
COF
PEBO
BLW
WSFS
BMTC
BANC
TCBK
CAC
ZION
OZK
FCBC
BBDO
CBTX
LKFN
EBTC
BAC
BOH
MCBS
HBAN
HTBK
SPFI
FNB
TBK
BY
BOKF
CBU
ABCB
CHCO
FISI
HTLF
ASB
CCNE
FITB
IBOC
CNBKA
CFG
CATY
SBNY
ITUB
HOPE
UMBF
CNOB
TBBK
SIVB
RRBI
FCF
FHB
FCNCA
AROW
CUBI
BUSE
VLY
BFST
AUB
BPOP
UCBI
SNV
CFR
FFIN
TSCAP
MTB
HBT
ALLY
RF
SFBS
