ASAN
BKI
ABST
PTC
MIME
PAYC
FROG
TEAM
CMCM
MANH
XNET
BSY
CVLT
DCBO
TTWO
ANSS
DDD
TENB
XM
DOCU
CGNT
SPSC
SSNC
MTLS
CHKP
NUAN
SCWX
AMSWA
DGNR
MSTR
QADB
BOX
VEEV
API
CRWD
MIXT
DDOG
SNOW
CCX
QADA
QLYS
ECOM
GWRE
OPRA
AVLR
TWLO
NET
NLOK
ESTC
CTXS
ADSK
MGIC
DCT
PCTY
TWOU
QTWO
SUMO
SMAR
CERT
MFGP
CDNS
CRM
NTES
PLAN
VMW
SHOP
HUBS
CRNC
PLTR
PD
MOMO
RAAS
WORK
BLKB
WK
SNPS
EA
VRNS
NOW
SAIL
MCFE
OKTA
AI
SPNS
INTU
PDFS
CLDR
ACIW
LSPD
DT
DSGX
NEWR
RP
RBLX
BAND
MSP
ALRM
BL
CDAY
SPLK
JAMF
PING
ATVI
COUP
LPSN
NICE
AYX
ZUO
NCNO
MSFT
NATI
PRGS
CANG
CSOD
ALTR
FSLY
KC
ONTF
DBX
AVID
SQ
BB
SINA
ZI
LINX
TDC
NTNX
SAP
ORCL
CYBR
SWI
TYL
EPAY
U
ADBE
BILL
