FNV
MP
SA
AU
CDE
OR
FSM
MSB
GOLD
CLF
PVG
RGLD
BVN
GATO
FCX
VALE
HMY
MUX
WPM
EXK
KL
HBM
DRD
EGO
AG
SSRM
IAG
SCCO
BHP
TRQ
SAND
AEM
NEXA
GFI
KGC
PAAS
AGI
LAC
RIO
CCJ
VEDL
AUY
NEM
