CRHC
AGCB
CDK
FGNA
TBA
DMS
CRU
GSAH
EXLS
RDWR
ENPC
ADS
PDAC
VVI
CCAC
ALUS
LQDT
TNET
IIAC
WEX
ENV
FTCH
MGI
RICE
TPGY
SEAH
ADV
ACIC
WPF
IIIV
RELX
PNTM
TREB
SOAC
SPFR
EGOV
IACA
WNS
LYFT
PDD
WU
NLSN
PSTH
LOKB
RBAC
CNXC
CCIV
CCV
EMPW
V
FPAC
CATM
NGA
SWBK
PIAI
RPLA
BABA
PACE
MPLN
JIH
STMP
BFT
HQY
RGP
AFRM
AMWL
LLNW
QIWI
QNST
UBER
HTPA
UXIN
EEX
DMYI
HPX
GRUB
XPOA
FOUR
STPC
AVAN
ZG
ASAQ
FIS
MMS
TINV
FLT
SPRQ
MOTV
MSCI
GPN
AJAX
SPNV
EQD
GOAC
DEH
VYGG
RTP
FVRR
NSTB
CBZ
MA
FMAC
FST
IMPX
CBAH
CAP
MELI
IVAN
AKAM
APSG
PYPL
RBA
HMSY
ASPL
FICO
HZAC
AONE
SFTW
SNPR
EBAY
BR
CPSR
HZON
IPOD
Z
PRPB
LEAP
WTRH
CTAC
TCOM
DMYD
CNDT
YAC
CSGP
ACND
CASS
IPOF
PHR
OACB
ETSY
TWND
ACN
BOAC
FAII
GSKY
DASH
