DOX
PRSP
PSN
SCPL
BTRS
STNE
CSGS
TUFN
CHNG
JKHY
INFY
PRO
VRNT
BILI
NTCT
LTRPA
DAVA
PRFT
EGHT
CLVT
CERN
NH
FISV
WIT
MDRX
VVNT
DXC
SOHU
YY
EVTC
FORTY
GDDY
GLOB
CACI
PEGA
VRSN
AGYS
OOMA
LTRPB
CTSH
EBIX
ETWO
VRSK
PAGS
NXGN
TRVG
EPAM
RNG
UIS
SAIC
CARG
OTEX
DMRC
CLGX
PFPT
GB
RBBN
ZNGA
AZPN
UPWK
CARS
YEXT
GLUU
ZEN
SSTK
PLTK
BCOV
RAMP
LDOS
TIXT
ZS
GDRX
CPSI
ZIXI
ATHM
WDAY
SGMS
SYKE
INOV
ADP
SOGO
PERI
