TelecommunicationsEquipment
IntegratedoilCompanies
Military-Government-Technical
ProfessionalServices
TelevisionServices
Advertising
Finance_ConsumerServices
CoalMining
SpecialtyInsurers
BuildingMaterials
Railroads
PackagedFoods
InvestmentBankers-Brokers-Service
OphthalmicGoods
OtherPharmaceuticals
LifeInsurance
Buildingoperators
Tools-Hardware
Oil_GasProduction
ComputerSoftware_ProgrammingDataProcessing
AirFreight-DeliveryServices
Beverages_Production-Distribution_
ShoeManufacturing
Hospital-NursingManagement
AgriculturalChemicals
Steel-IronOre
MarineTransportation
BuildingProducts
DiversifiedElectronicProducts
SavingsInstitutions
InvestmentManagers
AutoManufacturing
ElectronicComponents
ConsumerElectronics-VideoChains
Apparel
RealEstate
IndustrialSpecialties
RecreationalProducts-Toys
Clothing-Shoe-AccessoryStores
MiscHealthandBiotechnologyServices
FluidControls
Rental-LeasingCompanies
Catalog-SpecialtyDistribution
Hotels-Resorts
Biotechnology_BiologicalProducts_NoDiagnosticSubstances_
Publishing
Mining_QuarryingofNonmetallicMinerals_NoFuels_
Radio_Television_Broadcasting_Communications_Equipment
ConsumerElectronics-Appliances
MetalFabrications
Restaurants
Oil-GasTransmission
Biotechnology_InVitro_InVivoDiagnosticSubstances
Multi-SectorCompanies
MajorBanks
IndustrialMachinery-Components
TruckingFreight-CourierServices
Miscellaneous
Books
MedicalElectronics
EDPServices
WholesaleDistributors
SpecialtyFoods
Newspapers-Magazines
GeneralBldgContractors-NonresidentialBldgs
OtherConsumerServices
Computerperipheralequipment
PlasticProducts
PackageGoods-Cosmetics
ElectricalProducts
AutomotiveAftermarket
Services-Misc.Amusement_Recreation
OfficeEquipment-Supplies-Services
Textiles
Paints-Coatings
ConsumerSpecialties
Aluminum
AutoParts_O.E.M.
HomeFurnishings
BusinessServices
MotorVehicles
Movies-Entertainment
Medical-DentalInstruments
Banks
FoodDistributors
DiversifiedCommercialServices
OtherSpecialtyStores
Aerospace
Engineering_Construction
Biotechnology_CommercialPhysical_BiologicalResarch
OrdnanceAndAccessories
PollutionControlEquipment
Meat-Poultry-Fish
ElectricUtilities_Central
Farming-Seeds-Milling
Homebuilding
Tobacco
FoodChains
Broadcasting
RealEstateInvestmentTrusts
ComputerSoftware_PrepackagedSoftware
OilRefining-Marketing
EnvironmentalServices
MedicalSpecialities
WaterSupply
Paper
Construction-AgEquipment-Trucks
OilfieldServices-Equipment
MajorPharmaceuticals
MajorChemicals
DiversifiedFinancialServices
Medical-NursingServices
Containers-Packaging
Miscellaneousmanufacturingindustries
Biotechnology_LaboratoryAnalyticalInstruments
ComputerManufacturing
Accident_HealthInsurance
ComputerCommunicationsEquipment
Department-SpecialtyRetailStores
FinanceCompanies
TransportationServices
Property-CasualtyInsurers
Biotechnology_Electromedical_ElectrotherapeuticApparatus
Retail_Computer_Software_and_Peripheral_Equipment
RETAIL_BuildingMaterials
PreciousMetals
SpecialtyChemicals
Semiconductors
PowerGeneration
ElectronicsDistribution
NaturalGasDistribution
CommercialBanks
ForestProducts
