RE
AFG
ESGR
AXS
AIG
AMBC
STFC
TRV
L
SPNT
THG
UVE
ALL
ORI
RLI
HRTG
SAFT
RNR
KNSL
CNA
MCY
CB
ESNT
WTM
AMSF
AGO
KMPR
WRB
MTG
HIG
DGICB
AIZ
ROOT
TIG
HCI
MAX
PROS
UFCS
Y
GLRE
PRA
ACGL
RDN
JRVR
EIG
LMND
HMN
PLMR
SIGI
CINF
GBLI
DGICA
MBI
PGR
MKL
