WBT
HAYW
FERG
PI
KODK
LPL
EPAC
SXI
NOC
AEIS
XONE
VREX
MSM
SPXC
GPRO
MKSI
MTSC
ETN
ITW
WSO
MIDD
THR
OC
CYD
GTES
WWD
TRMB
EAF
LNN
KEYS
CUB
TDY
VNT
FTV
QS
SWK
JBT
FARO
ALTG
AME
DE
KMT
DM
HOLI
CMI
BWXT
VLDR
AQUA
KAI
GRMN
DHR
ROP
MRC
BRKS
TMO
ACLS
ERII
NDSN
SNA
SSD
BE
DXPE
LECO
SPB
DOV
LRCX
VECO
VICR
ONTO
CARR
AAON
NVT
ITGR
ATKR
ASML
IMAX
ZBRA
ENS
SYX
BMI
LHX
IR
CHX
ALG
WPRT
STPK
BC
ROK
FLOW
VRT
CGNX
MLAB
ENR
RXN
FLIR
CAE
AIMC
VGAC
CW
TNC
PNR
NOVT
AGCO
LCUT
ST
CAJ
LII
KRNT
