ASX
CCMP
SOL
ON
ADI
AXTI
SWKS
SEDG
VIAV
AMD
ICHR
MAXN
SPWR
ALGM
SIMO
HIMX
TSM
PLAB
DIOD
STM
UCTT
AVGO
IPGP
IPHI
DQ
EBON
CSIQ
MTSI
SMTC
AMBA
MXL
SLAB
RMBS
MPWR
NVDA
AMKR
SGH
DSPG
FORM
LASR
LSCC
MU
OSIS
CREE
NXPI
POWI
MX
KLIC
TSEM
AMAT
JKS
AOSL
CRUS
QRVO
FSLR
MXIM
XPER
IMOS
NPTN
XLNX
UMC
TXN
SYNA
INTC
MRVL
MCHP
