APA
CHK
FANG
MGEE
PAA
PDCE
PTON
VNOM
WWD
AR
BBL
BC
BE
BKR
BP
BWXT
CLR
CMI
CNQ
CNX
COG
COP
CPG
CRC
CVE
CVI
CVX
DEN
DVN
E
EAF
EC
EMR
ENB
EOG
EQNR
EQT
FTI
GE
HAL
HES
HFC
HP
INT
LBRT
MGY
MIC
MMP
MPC
MPLX
MRO
MTDR
MUR
NOV
OTIS
OVV
OXY
PBA
PBR
PSX
PSXP
PTR
PXD
RIG
RRC
SHLX
SLB
SM
SNP
SSL
SU
SUN
SWN
TOT
TPL
VLO
WHD
XEC
XOM
