ABCL
ABCM
ABMD
ACAD
ACHC
ADPT
AGIO
ALGN
ALKS
ALLK
ALLO
ALNY
ALXN
ALXO
AMED
AMGN
AMTI
APLS
ARGX
ARNA
ARVN
ARWR
ASND
AVIR
AXNX
AZN
BBIO
BCRX
BEAM
BGNE
BIIB
BLUE
BMRN
BNTX
BPMC
CBPO
CCXI
CLOV
CVET
DCPH
DNLI
DXCM
EDIT
ENSG
EXEL
EYE
FGEN
GBT
GH
GILD
GLPG
GMAB
GRFS
HALO
HCM
HCSG
HOLX
HSIC
HZNP
IART
IBRX
ICLR
ICUI
IDXX
IGMS
INCY
INMD
INNV
INO
INSM
IONS
IRTC
ISRG
ITCI
JAZZ
LEGN
LHCG
LIVN
MASI
MEDP
MGLN
MMSI
MOR
MRNA
MRTX
MRVI
MYGN
NARI
NBIX
NEOG
NGM
NKTR
NTRA
NUVA
NVAX
NVCR
OCDX
OM
ONEM
OPCH
OPK
PCRX
PDCO
PGNY
PODD
PPD
PRAH
PRLD
PTCT
QDEL
RARE
REGN
RGEN
RPRX
RVMD
SANA
SDC
SDGR
SGEN
SGRY
SHC
SNY
SRPT
SRRK
SWAV
SWTX
SYNH
TECH
TPTX
TWST
UTHR
VIR
VRTX
VTRS
WBA
XRAY
