AAPL
MSFT
AMZN
FB
GOOGL
GOOG
TSLA
BRK.B
JPM
JNJ
V
DIS
UNH
MA
PG
NVDA
HD
BAC
PYPL
INTC
CMCSA
XOM
VZ
NFLX
T
ADBE
ABT
CSCO
CVX
PFE
KO
MRK
CRM
AVGO
ABBV
PEP
WMT
NKE
TMO
ACN
WFC
MCD
TXN
MDT
C
HON
QCOM
LLY
UNP
COST
AMGN
PM
BMY
LIN
NEE
DHR
BA
LOW
ORCL
SBUX
MS
CAT
GS
DE
RTX
GE
IBM
UPS
MMM
AMAT
BLK
MU
AMT
SCHW
INTU
CVS
BKNG
MO
AMD
AXP
CHTR
NOW
TGT
FIS
LMT
CI
ANTM
SPGI
MDLZ
ISRG
GILD
TFC
TJX
ADP
LRCX
USB
PNC
CB
PLD
SYK
GM
CME
TMUS
ZTS
COP
CCI
CSX
FISV
BDX
ATVI
DUK
NSC
CL
EL
ITW
SO
FDX
ICE
GPN
MMC
D
ILMN
APD
COF
SHW
ADSK
EQIX
VRTX
ADI
VIAC
BSX
ETN
HUM
EMR
TWTR
PGR
ECL
FCX
AON
NEM
REGN
HCA
EW
NOC
F
DOW
WM
MET
MCO
KMB
KLAC
JCI
ROST
DG
TEL
ROP
DD
GD
HPQ
EXC
IDXX
LHX
AIG
MAR
AEP
CTSH
BAX
PH
BIIB
TT
EOG
APTV
SYY
CMG
TRV
CMI
STZ
TROW
APH
EBAY
SPG
BK
SLB
WBA
MCHP
A
DLR
SRE
EA
ALGN
PRU
CNC
PSA
GIS
LUV
IQV
INFO
PSX
PPG
ALL
CTVA
ORLY
HLT
SNPS
CDNS
MPC
IFF
AFL
MSCI
CARR
ALXN
PCAR
ZBH
XEL
PXD
YUM
DXCM
TDG
MNST
ADM
GLW
SWK
DAL
PAYX
MSI
KMI
ROK
AZO
MCK
STT
VLO
WELL
XLNX
SBAC
FRC
CTAS
PEG
DFS
SWKS
SIVB
WLTW
AME
ES
LYB
FITB
WEC
OTIS
VRSK
WMB
ANSS
DHI
FAST
BLL
KR
RMD
AMP
AVB
CBRE
MTD
BBY
LEN
ETSY
WY
VFC
KHC
KEYS
AWK
EQR
DTE
DLTR
ED
EXPE
ZBRA
HIG
AJG
FLT
MXIM
LH
FTNT
CLX
HSY
FTV
URI
PPL
CPRT
TSN
CDW
SYF
OXY
VMC
O
EIX
ODFL
KMX
CERN
NTRS
MKC
OKE
LVS
NUE
IP
MLM
CCL
WDC
EFX
KSU
VTR
RF
ARE
CHD
RSG
RCL
KEY
QRVO
HPE
MTB
WST
DOV
TSCO
ETR
HAL
AEE
CFG
TTWO
MKTX
TFX
VRSN
DISCK
FE
XYL
GRMN
TRMB
TER
ESS
ENPH
COO
IR
HES
DRI
GWW
HOLX
CAG
ULTA
PAYC
AMCR
UAL
VTRS
EXPD
CE
AES
PEAK
CTLT
CAH
EXR
ABC
TYL
BR
DGX
MAA
GPC
WAT
NDAQ
HBAN
CMS
OMC
STX
IT
ALB
MGM
CTXS
J
CINF
VAR
AKAM
STE
NTAP
DRE
PFG
BKR
ANET
NVR
K
EMN
IEX
AVY
AAL
BXP
MAS
RJF
INCY
TDY
FOXA
DPZ
FMC
PKI
MPWR
SJM
LB
LUMN
XRAY
WRK
WAB
HRL
POOL
JBHT
ABMD
WHR
EVRG
UDR
DVN
WYNN
CHRW
LDOS
PHM
LNT
BF.B
FBHS
PKG
HST
TXT
TPR
LYV
NLOK
AAP
HWM
L
FFIV
BIO
SNA
LKQ
DISCA
HAS
CNP
PWR
FANG
BWA
LNC
LW
ATO
IPG
MOS
JKHY
ALLE
CBOE
MHK
UHS
WRB
NWSA
CF
IRM
WU
PNR
RE
CPB
NWL
CMA
HSIC
GL
IVZ
ZION
DISH
NLSN
TAP
NCLH
AOS
REG
NI
PNW
NRG
RHI
ALK
AIZ
MRO
JNPR
KIM
DVA
HII
BEN
PBCT
VNO
IPGP
PVH
ROL
APA
FLIR
DXC
SEE
COG
HBI
FRT
GPS
LEG
FOX
RL
NOV
UNM
PRGO
SLG
HFC
FLS
UAA
VNT
XRX
UA
NWS
