ADV
AFRM
AKAM
CDK
CMPR
CNXC
CSGP
EBAY
EGOV
ETSY
EXLS
HMSY
HQY
LYFT
MELI
NOVT
PDD
PYPL
STMP
TCOM
Z
ZG
ACN
ADS
AMWL
ATKR
BABA
BFAM
BR
CAE
CAJ
DASH
DLB
ENR
ENS
ENV
FICO
FIS
FLT
FOUR
FTCH
FVRR
GPN
GRUB
ITGR
MA
MMS
MPLN
MSCI
NCR
NLSN
PHR
QS
RBA
RELX
SPB
TNET
UBER
V
WEX
WNS
WU
