AGNC
AMCX
AMZN
ANGI
ASO
BBBY
BECN
BKNG
BLDR
BLMN
BZUN
CAKE
CAR
CBRL
CCOI
CDW
CHDN
CHTR
CMCSA
CONE
COST
CTRE
CZR
DISCA
DISCB
DISCK
DISH
DKNG
DLTR
DRVN
EQIX
EXPE
EXPO
FAST
FCFS
FIVE
FOX
FOXA
FWONA
FWONK
GLPI
GO
HST
HTHT
IAC
IHRT
IQ
JACK
JD
LAMR
LAUR
LBRDA
LBRDK
LBTYB
LESL
LILA
LILAK
LKQ
LOPE
LSXMA
LSXMB
LSXMK
MANT
MAR
MIK
MLCO
MMYT
MNRO
MODV
NFLX
NSIT
NWS
NWSA
NXST
ODP
ORLY
OZON
PAYX
PCH
PENN
PINC
PLAY
POSH
PSMT
PZZA
QRTEA
QRTEB
RCM
REAL
REG
ROKU
ROST
RRR
SATS
SBAC
SBGI
SBRA
SBUX
SFIX
SFM
SIRI
STAY
STRA
SVC
TSCO
TTEK
TXRH
UHAL
ULTA
UNIT
URBN
VIAC
VIACA
WEN
WING
WISH
WMG
WOOF
WW
WYNN
