,ratio001,ratio002,ratio003,ratio004,ratio005,ratio006,ratio008,ratio011,ratio012,ratio017,ratio018,ratio019,ratio027,ratio029,ratio030,DIO,DPO,DSO,turnover,nace,ratio036,ratio037,ratio039,ratio040,status
9230,0.01108704,-0.309276057,-0.348434188,-0.414106466,-0.518874815,-0.285303801,-0.211666645,-0.011926989,0.216546171,0.407658277,0.445449867,-0.058794771,-0.18654638,-0.087533284,-0.111107926,-0.118205681,0.799534369,-0.134052688,-0.290207723,4520,0,0,1,0,0
9231,-0.304890809,-0.284422817,0.17341669,0.455931895,0.930796971,-0.213257086,3.449548399,1.75463047,-3.405226646,0.197153991,0.234719756,-0.40493971,3.856037681,0.831448919,0.725442935,-0.317153963,-0.268702732,-0.79635848,-0.290320691,2511,0,0,1,0,0
9232,-0.777004342,-0.309276057,-0.64663469,-0.46737412,-0.650663159,-0.31524102,-0.45577957,-0.65431152,0.921838772,-1.297426442,-1.272000538,-0.534744062,-0.443246088,-0.296392875,-0.301233121,-0.246559411,-0.732684503,-0.658378107,-0.290320691,5610,1,1,1,1,0
9233,0.414167289,-0.309276057,-0.422984314,-0.920149186,-0.771469141,-0.293528311,-0.275256673,-0.172523122,-3.405226646,2.133793425,2.173436776,3.48919085,-0.277601504,-0.129305202,-0.149132965,-0.320362806,-0.732684503,-0.79635848,-0.290320691,5510,1,1,1,1,0
9234,-0.469829394,-0.560293774,-1.230610672,-0.902393301,-0.771469141,-0.426436405,-0.237619804,0.255733232,0.083112436,-0.413308439,-0.376397566,0.24408205,-0.280318338,0.204870144,0.155067348,-0.275439001,1.900142291,0.233894974,-0.290320691,5610,0,0,1,0,0
9235,-0.054239759,-0.247142958,-0.323584146,-0.369716753,-0.321192298,-0.273131525,-0.154205776,0.041605055,0.273732058,-0.31858151,-0.376397566,-0.253501299,-0.181524352,-0.045761366,-0.073082887,-0.098952621,2.331753241,1.503314409,-0.290320691,4621,0,0,1,0,0
9236,-0.226128002,-0.068199635,-0.149633854,-0.547275603,-0.310209936,-0.290238507,-0.110822819,0.416329364,0.369041869,0.533960849,0.540278417,-0.296769417,-0.057290914,0.204870144,0.193092387,-0.320362806,-0.052897257,-0.410013435,-0.290433658,3811,0,0,1,0,0
9237,-0.164044378,-0.309276057,-0.249034021,1.068509925,1.062585316,-0.515998038,-0.241258992,0.095137099,0.159360285,0.091901848,0.118818195,0.330618285,-0.283611471,-0.045761366,-0.073082887,-0.140667584,-0.732684503,-0.79635848,-0.290433658,1723,0,0,1,0,0
9238,-0.146901885,0.006360084,-0.261459042,-0.076744652,0.249890526,-0.219507715,0.047098803,0.469861409,0.512006585,0.397133063,0.424376856,-0.361671593,0.00972434,0.079554389,0.040992231,-0.307527433,-0.052897257,0.62024002,-0.290433658,3212,0,0,1,0,0
9239,-0.317863507,-0.309276057,0.285241878,0.287250989,-0.980134019,4.06447545,-0.223924963,0.255733232,0.20701519,-0.129127653,-0.15513095,0.049375522,-0.279659712,-0.003989447,-0.035057848,-0.320362806,-0.732684503,-0.750365022,-0.290546626,4759,0,0,1,0,0
9240,-0.329446273,-0.177553888,0.434342129,-0.369716753,-0.255298126,-0.279382153,-0.255145369,0.041605055,0.12123636,-0.423833653,-0.460689611,1.131078456,-0.30328794,-0.087533284,-0.073082887,-0.236932882,0.475826157,0.62024002,-0.290546626,1629,0,0,1,0,0
9241,-0.358634843,-0.309276057,1.27924355,0.260617161,0.678202645,-0.258327405,-1.119889311,0.898117762,0.283263039,0.36555742,0.403303844,-0.40493971,-0.822614995,0.330185899,0.269142465,-0.317153963,-0.732684503,-0.79635848,-0.290546626,5610,0,0,1,0,0
9242,4.180308207,0.615264449,-0.460259376,-0.121134364,-0.474945366,-0.230364069,-0.244898181,-0.011926989,-0.031259337,0.618162564,0.466522878,0.460422637,-0.264264315,-0.129305202,-0.111107926,-0.057237659,-0.193170816,-0.032867081,-0.290546626,1520,0,0,1,1,0
9243,-0.562954831,-0.309276057,-0.833010003,-1.18648746,-1.100940001,-0.326426354,-0.21798734,0.255733232,0.006864587,-1.234275156,-1.208781504,-0.015526654,-0.262123779,-3.076731758,2.702744969,-0.320362806,-0.700313682,-0.79635848,-0.290546626,6820,0,0,1,0,0
9244,-0.016711597,0.190274055,-0.348434188,-0.183279962,-0.134492144,-0.253063718,-0.107183631,0.202201188,0.388103831,0.197153991,0.213646745,-0.296769417,-0.035803222,0.079554389,0.040992231,-0.188800233,0.206069313,0.500657029,-0.290546626,1512,0,0,1,0,0
9245,-1.368040446,-1.040259533,-0.460259376,-0.325327041,-0.870310399,-0.276092349,-0.256581891,0.148669143,0.12123636,-0.108077224,-0.134057939,1.325784984,-0.302958627,0.079554389,0.040992231,0.122457564,0.292391503,-0.50200035,-0.290659593,2599,0,0,1,0,0
9246,-0.321569992,-0.234716339,0.334941962,0.988608443,1.556791606,-0.515998038,3.449548399,0.309265276,0.245139114,-0.329106725,-0.313178533,-0.40493971,0.492332964,0.121326308,0.07901727,-0.307527433,0.48661643,0.785816468,-0.290659593,812,0,0,1,0,0
9247,-0.192306326,-0.309276057,-0.211758958,-0.005721113,0.304802337,-0.243194306,-1.119889311,0.469861409,0.388103831,1.502280566,1.530709938,-0.40493971,3.856037681,-0.045761366,-0.073082887,-0.307527433,-0.376605469,-0.79635848,-0.290659593,5610,0,0,1,0,0
9248,0.935855058,-0.309276057,-0.460259376,-0.476252063,-0.661645521,-0.292870351,-0.253517311,0.041605055,0.149829303,-0.265955439,-0.302642027,0.979640045,-0.287151589,0.037782471,0.002967191,0.064698385,-0.732684503,-0.79635848,-0.290659593,4690,0,0,1,0,0
9249,-0.33454269,-0.192465832,0.521317275,-0.014599055,-0.595751349,-0.259314347,-0.256677659,0.041605055,0.111705379,-0.992195226,-1.02966091,1.022908162,-0.30279397,0.288413981,0.345192544,5.00785725,0.119747123,1.5125131,-0.290659593,2512,0,0,1,0,0
9250,-0.065359214,-0.309276057,-0.323584146,-0.218791732,-1.002098743,-0.229377127,-0.251697717,0.041605055,0.140298322,-0.760640512,-0.724102249,0.806567575,-0.303040955,-0.003989447,-0.035057848,-0.320362806,-0.732684503,-0.777961097,-0.290772561,4764,0,0,1,0,0
9251,-0.332689447,-0.150215325,0.484042212,0.305006874,-1.177816535,-0.142197313,-0.188873833,-0.065459033,0.130767341,-0.034400724,0.002916634,-0.166965065,-0.248704263,-0.212849039,-0.225183043,5.00785725,-0.247122184,-0.79635848,-0.290772561,4752,0,0,1,0,0
9252,4.180308207,-0.309276057,-0.460259376,-0.360838811,-1.188798897,0.027227608,-0.244323572,0.095137099,0.693095226,-0.17122851,1.035494177,0.438788578,-0.298677554,-0.087533284,-0.187158004,-0.320362806,-0.732684503,-0.79635848,-0.290772561,4299,0,0,1,0,0
9253,-0.203889092,-0.135303381,-0.186908916,0.43817601,0.10711982,4.06447545,-0.251601949,0.041605055,0.130767341,0.176103562,0.203110239,0.806567575,-0.300571105,-0.129305202,-0.149132965,-0.01873154,0.249230408,0.132709367,-0.290772561,4673,0,0,1,0,0
