AER
AI
AL
AMN
ANET
AQUA
ARW
ASAN
ASGN
ASX
ATHM
AVLR
AYX
BB
BILL
BKI
BOX
CACI
CDAY
CLDR
CLGX
CLVT
CRM
CW
DAVA
DDD
DELL
DM
DOV
DQ
DT
DXC
EB
EGHT
EPAM
ESTC
ETN
ETWO
EVTC
FLOW
FSLY
GB
GDDY
GLOB
GTES
GWRE
HAYW
HPE
HPQ
HUBS
HUYA
IBM
INFO
INFY
IPG
IR
ITW
JBL
JBT
JNPR
KAI
KFY
LDOS
LSPD
MAN
MAXR
MDLA
MFGP
MSI
MSP
MXL
NET
NEWR
NOK
NOW
NSP
NVT
OCFT
OMC
ONTF
ORCL
PAGS
PANW
PAYC
PD
PINS
PLAN
PLTR
PNR
PRG
PRO
PRSP
PSN
PSTG
QTWO
RAAS
RAMP
RBLX
RHI
RNG
RXN
SAIC
SAIL
SAP
SHOP
SMAR
SNAP
SNOW
SNX
SOGO
SPXC
SQ
SSTK
STM
SWCH
SWI
TDC
TEL
TRTN
TSM
TWLO
TWTR
TYL
U
UI
UMC
URI
VEEV
VMW
VVNT
WBT
WIT
WK
WORK
WPP
XRX
ZEN
