Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
FBHS,Fortune Brands Home & Security Inc. Common Stock,$91.50,-0.14,-0.153%,12687962973.00,United States,,1415178,Basic Industries,Forest Products
FCX,Freeport-McMoRan Inc. Common Stock,$34.99,-0.43,-1.214%,51085400000.00,United States,,33260969,Basic Industries,Precious Metals
FLR,Fluor Corporation Common Stock,$22.10,-0.64,-2.814%,3110781547.00,United States,,3931722,Basic Industries,Military/Government/Technical
FMC,FMC Corporation Common Stock,$109.89,-0.21,-0.191%,14231790493.00,United States,,1238100,Basic Industries,Major Chemicals
FNV,Franco-Nevada Corporation,$124.33,1.01,0.819%,23741618661.00,Canada,,1945137,Basic Industries,Precious Metals
FUL,H. B. Fuller Company Common Stock,$60.42,-0.25,-0.412%,3147398338.00,United States,,750715,Basic Industries,Home Furnishings
GFI,Gold Fields Limited American Depositary Shares,$10.04,0.29,2.974%,8868668521.00,South Africa,,16711156,Basic Industries,Precious Metals
GLW,Corning Incorporated Common Stock,$41.28,-0.12,-0.29%,31718226458.00,United States,,13059004,Basic Industries,Telecommunications Equipment
GOLD,Barrick Gold Corporation Common Stock (BC),$20.96,0.10,0.479%,37270860178.00,Canada,,24395483,Basic Industries,Precious Metals
GRA,W.R. Grace & Co. Common Stock,$58.79,-0.74,-1.243%,3891393935.00,United States,,644520,Basic Industries,Major Chemicals
HL,Hecla Mining Company Common Stock,$6.50,-0.14,-2.108%,3478720642.00,United States,,20872620,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels)
HMY,Harmony Gold Mining Company Limited,$4.54,0.04,0.889%,2768934954.00,South Africa,,8259808,Basic Industries,Precious Metals
HUN,Huntsman Corporation Common Stock,$29.15,0.42,1.462%,6442163292.00,United States,2005,10630465,Basic Industries,Major Chemicals
HXL,Hexcel Corporation Common Stock,$60.74,0.14,0.231%,5080891403.00,United States,,890031,Basic Industries,Major Chemicals
IBP,Installed Building Products Inc. Common Stock,$111.69,2.41,2.205%,3308592647.00,,2014,353525,Basic Industries,Homebuilding
ICL,ICL Group Ltd. Ordinary Shares,$5.92,0.00,0.00%,7582046790.00,Israel,2014,330344,Basic Industries,Agricultural Chemicals
IFF,Internationa Flavors & Fragrances Inc. Common Stock,$137.31,-0.37,-0.269%,34152602211.00,United States,,5036060,Basic Industries,Major Chemicals
IP,International Paper Company Common Stock,$53.58,-0.34,-0.631%,21063215129.00,United States,,10202983,Basic Industries,Paper
J,Jacobs Engineering Group Inc. Common Stock,$123.37,-1.25,-1.003%,16048729683.00,United States,,981399,Basic Industries,Military/Government/Technical
JELD,JELD-WEN Holding Inc. Common Stock,$28.80,0.38,1.337%,2881032509.00,United States,2017,959200,Basic Industries,Forest Products
KBR,KBR Inc. Common Stock,$32.40,-0.17,-0.522%,4563337954.00,United States,2006,2877133,Basic Industries,Military/Government/Technical
KGC,Kinross Gold Corporation Common Stock,$6.92,0.08,1.17%,8708128000.00,Canada,,19977419,Basic Industries,Precious Metals
KL,Kirkland Lake Gold Ltd. Common Shares,$35.00,0.72,2.10%,9345832195.00,,,2193052,Basic Industries,Precious Metals
KWR,Quaker Chemical Corporation Common Stock,$248.23,3.32,1.356%,4431823951.00,United States,,239617,Basic Industries,Major Chemicals
LEN,Lennar Corporation Class A Common Stock,$95.12,0.48,0.507%,29688540789.00,United States,,3453926,Basic Industries,Homebuilding
LIN,Linde plc Ordinary Share,$269.12,1.22,0.455%,140705738696.00,,2018,3845162,Basic Industries,Major Chemicals
LPX,Louisiana-Pacific Corporation Common Stock,$53.89,-0.02,-0.037%,5741751384.00,United States,,3222288,Basic Industries,Forest Products
LTHM,Livent Corporation Common Stock,$18.05,0.55,3.143%,2641833757.00,United States,2018,3525477,Basic Industries,Major Chemicals
LYB,LyondellBasell Industries NV Ordinary Shares Class A (Netherlands),$106.77,-1.33,-1.23%,35675333218.00,Netherlands,,5080147,Basic Industries,Major Chemicals
MDU,MDU Resources Group Inc. Common Stock (Holding Company),$30.72,-0.20,-0.647%,6160044349.00,United States,,3675155,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels)
MLM,Martin Marietta Materials Inc. Common Stock,$332.06,-7.73,-2.275%,20682946507.00,United States,1994,649876,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels)
MOS,Mosaic Company (The) Common Stock,$33.31,-0.17,-0.508%,12627599222.00,United States,,8080176,Basic Industries,Agricultural Chemicals
MP,MP Materials Corp. Common Stock,$45.99,5.49,13.556%,7851617547.00,,2020,11540318,Basic Industries,Precious Metals
MT,Arcelor Mittal NY Registry Shares NEW,$27.47,0.56,2.081%,28943788163.00,Luxembourg,,7989641,Basic Industries,Steel/Iron Ore
MTX,Minerals Technologies Inc. Common Stock,$77.65,-0.70,-0.893%,2628277865.00,United States,1992,483132,Basic Industries,Major Chemicals
MTZ,MasTec Inc. Common Stock,$92.33,-0.03,-0.032%,6851684285.00,United States,,1274229,Basic Industries,Water Supply
NEM,Newmont Corporation,$61.93,-0.33,-0.53%,49612531676.00,United States,,31285583,Basic Industries,Precious Metals
NEU,NewMarket Corp Common Stock,$388.93,-8.07,-2.033%,4250286935.00,United States,,65549,Basic Industries,Major Chemicals
NGVT,Ingevity Corporation Common Stock ,$75.31,-1.69,-2.195%,3233418658.00,,2016,836251,Basic Industries,Major Chemicals
NTR,Nutrien Ltd. Common Shares,$56.99,-0.60,-1.042%,32472352217.00,,2018,1870935,Basic Industries,Agricultural Chemicals
NUE,Nucor Corporation Common Stock,$71.32,0.92,1.307%,21256630593.00,United States,,6490837,Basic Industries,Steel/Iron Ore
OLN,Olin Corporation Common Stock,$39.81,0.85,2.182%,6315994442.00,United States,,2990407,Basic Industries,Major Chemicals
PG,Procter & Gamble Company (The) Common Stock,$128.01,-0.69,-0.536%,315221558392.00,United States,,20052997,Basic Industries,Package Goods/Cosmetics
PKX,POSCO Common Stock,$64.80,-0.19,-0.292%,20643107126.00,South Korea,1994,231010,Basic Industries,Steel/Iron Ore
PPG,PPG Industries Inc. Common Stock,$147.42,-2.38,-1.589%,34930632096.00,United States,,1901702,Basic Industries,Paints/Coatings
PQG,PQ Group Holdings Inc. Common Stock,$17.06,0.04,0.235%,2325594582.00,United States,2017,429858,Basic Industries,Major Chemicals
PVG,Pretium Resources Inc. Ordinary Shares (Canada),$11.09,0.17,1.557%,2078627223.00,Canada,,3740505,Basic Industries,Precious Metals
