ABEV
ADM
ATR
AWI
AZEK
BERY
BG
BGS
BRFS
BTI
BUD
CAG
CCEP
CCU
CL
COTY
CPB
CPRI
CRI
CTVA
DAR
DECK
DEO
DPZ
EL
ELY
EPC
FLO
FMX
GIL
GIS
GOLF
GOOS
HOG
HRL
HSY
IBA
INGR
K
KO
KOF
KTB
LEVI
LW
MED
MKC
MO
NKE
NOMD
PFGC
PM
POST
PRMW
PVH
RL
RLX
SAM
SJM
SKX
SNE
STZ
SYY
TAP
THO
THS
TPR
TR
TSN
UA
UAA
USFD
UTZ
VFC
VGR
WCC
WGO
WWW
YETI
YSG
