Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
TSCO,Tractor Supply Company Common Stock,$171.61,2.32,1.37%,19958558934.00,United States,1994,368916,Consumer Services,RETAIL: Building Materials
TTEK,Tetra Tech Inc. Common Stock,$130.83,-3.59,-2.671%,7094769996.00,United States,1991,246017,Consumer Services,Military/Government/Technical
TXRH,Texas Roadhouse Inc. Common Stock,$96.44,0.27,0.281%,6714098311.00,United States,2004,587084,Consumer Services,Restaurants
UHAL,Amerco Common Stock,$596.125,-5.865,-0.974%,11688692622.00,United States,,7582,Consumer Services,Rental/Leasing Companies
ULTA,Ulta Beauty Inc. Common Stock,$320.00,0.77,0.241%,18028364480.00,United States,2007,260643,Consumer Services,Other Specialty Stores
UNIT,Uniti Group Inc. Common Stock,$11.71,0.22,1.915%,2727226364.00,United States,,871856,Consumer Services,Real Estate Investment Trusts
URBN,Urban Outfitters Inc. Common Stock,$40.955,1.145,2.876%,4006053666.00,United States,1993,435982,Consumer Services,Clothing/Shoe/Accessory Stores
VIAC,ViacomCBS Inc. Class B Common Stock,$97.755,0.995,1.028%,60569597531.00,United States,,4410716,Consumer Services,Broadcasting
VIACA,ViacomCBS Inc. Class A Common Stock,$97.81,1.18,1.221%,60603675869.00,United States,,55067,Consumer Services,Broadcasting
WEN,Wendy's Company (The) Common Stock,$20.65,0.12,0.585%,4622318818.00,United States,,742912,Consumer Services,Restaurants
WING,Wingstop Inc. Common Stock,$128.195,0.805,0.632%,3805854057.00,United States,2015,326324,Consumer Services,Restaurants
WISH,ContextLogic Inc. Class A Common Stock,$17.505,0.245,1.419%,12180699698.00,United States,2020,1801902,Consumer Services,Catalog/Specialty Distribution
WMG,Warner Music Group Corp. Class A Common Stock,$33.05,-0.37,-1.107%,16999339219.00,United States,2020,434094,Consumer Services,Services-Misc. Amusement & Recreation
WOOF,Petco Health and Wellness Company Inc. Class A Common Stock,$24.00,1.47,6.525%,7248136848.00,United States,2021,2359984,Consumer Services,Other Specialty Stores
WW,WW International Inc. Common Stock,$33.96,-0.03,-0.088%,2342664412.00,United States,,380115,Consumer Services,Other Consumer Services
WYNN,Wynn Resorts Limited Common stock,$134.45,-1.20,-0.885%,15544500345.00,United States,2002,971420,Consumer Services,Hotels/Resorts
