AA
ACH
AEM
AES
AG
AGI
AIN
ALB
AMRC
APD
APG
ATC
ATI
AU
AUY
AVNT
AXTA
BAK
BBU
BDC
BHP
BLD
BVN
CBT
CC
CCJ
CDE
CE
CF
CHD
CLF
CLH
CMC
CMP
CRS
CSL
CSTM
DD
DNMR
DOOR
DOW
DY
ECL
EGO
EMN
ESI
FBHS
FCX
FLR
FMC
FNV
FUL
GFI
GLW
GOLD
GRA
HL
HMY
HUN
HXL
IBP
ICL
IFF
IP
J
JELD
KBR
KGC
KL
KWR
LEN
LIN
LPX
LTHM
LYB
MDU
MLM
MOS
MP
MT
MTX
MTZ
NEM
NEU
NGVT
NTR
NUE
OLN
PG
PKX
PPG
PQG
PVG
RIO
ROG
RPM
RS
SCCO
SCL
SEE
SHI
SKY
SMG
SQM
SUM
SUZ
SXT
TECK
TREX
TROX
TRQ
TS
TSE
TX
UFS
UL
VALE
VEDL
VMC
VVV
WFG
WLK
WPM
WST
X
