AAP
AAT
ABR
ACC
ACI
ACM
ADC
ADT
AEO
AIRC
ALLE
AMC
AMH
AMT
ANF
APLE
ARE
ARI
ARMK
ATGE
ATUS
AVB
AZO
BAH
BALY
BAM
BBY
BCC
BDN
BIG
BIP
BJ
BKE
BNL
BRX
BURL
BXMT
BXP
BYD
CABO
CALX
CCL
CHGG
CHH
CHWY
CIM
CLNY
CMG
CNK
CNNE
COLD
COR
CPNG
CPT
CUBE
CUK
CUZ
DAO
DDS
DEI
DG
DIS
DKS
DLR
DOC
DRE
DRH
DRI
EAT
EDU
EGP
ELS
EPR
EPRT
EQC
EQR
ESRT
ESS
EXR
FCN
FCPT
FL
FND
FR
FRT
FUBO
FUN
G
GATX
GHC
GIB
GME
GPS
GSX
GWW
H
HASI
HBI
HD
HGV
HHC
HIW
HLT
HOME
HR
HRB
HTA
IGT
IHG
IRM
IT
JBGS
JCI
JMIA
JOE
JWN
KEX
KIM
KR
KRC
KSS
LB
LOW
LSI
LVS
LYV
M
MAA
MAC
MANU
MATX
MCD
MGM
MGP
MNSO
MPW
MSGE
MSGS
MTN
MYTE
NCLH
NHI
NLY
NNN
NRZ
NSA
NYT
O
OFC
OHI
OUT
PDM
PEAK
PEB
PGRE
PK
PLD
PLNT
PSA
PSB
PSO
QSR
QTS
R
RCI
RCL
REXR
RH
RHP
RLJ
RPAI
RSI
RVLV
RYN
SAFE
SBH
SCI
SE
SEAS
SHAK
SHO
SHW
SIG
SITC
SIX
SJR
SLG
SPCE
SPG
SPOT
SRC
STAG
STN
STOR
STWD
SUI
TAL
TGNA
TGT
TJX
TME
TMX
TNL
TRI
TV
TWO
UDR
UNF
VER
VICI
VIPS
VNO
VTR
W
WELL
WH
WMT
WPC
WRI
WSM
WWE
WY
XHR
XPO
YELP
YUM
YUMC
