Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
PNFP,Pinnacle Financial Partners Inc. Common Stock,$93.6599,0.0799,0.085%,7117361629.00,United States,,180956,Finance,Major Banks
PPBI,Pacific Premier Bancorp Inc,$45.18,-0.59,-1.289%,4260186023.00,United States,,338524,Finance,Major Banks
QFIN,360 DigiTech Inc. American Depositary Shares,$32.028,-1.552,-4.622%,4871828659.00,China,2018,1516411,Finance,Finance: Consumer Services
RDFN,Redfin Corporation Common Stock,$70.77,1.55,2.239%,7303919334.00,United States,2017,726170,Finance,Real Estate
RNST,Renasant Corporation Common Stock,$44.74,-0.25,-0.556%,2516112995.00,United States,,262583,Finance,Major Banks
ROOT,Root Inc. Class A Common Stock,$11.85,0.66,5.898%,2982587385.00,United States,2020,1218169,Finance,Property-Casualty Insurers
SASR,Sandy Spring Bancorp Inc. Common Stock,$43.90,0.60,1.386%,2067507069.00,United States,,460699,Finance,Major Banks
SBCF,Seacoast Banking Corporation of Florida Common Stock,$38.09,-0.59,-1.525%,2104467548.00,United States,,218100,Finance,Major Banks
SBNY,Signature Bank Common Stock,$237.93,4.00,1.71%,13710695074.00,United States,2004,241642,Finance,Major Banks
SEIC,SEI Investments Company Common Stock,$60.47,-0.57,-0.934%,8678453035.00,United States,1981,141806,Finance,Investment Bankers/Brokers/Service
SFBS,ServisFirst Bancshares Inc. Common Stock,$61.96,0.51,0.83%,3351974288.00,United States,2014,231849,Finance,Major Banks
SFNC,Simmons First National Corporation Class A Common Stock,$31.30,-0.14,-0.445%,3383126543.00,United States,,453740,Finance,Major Banks
SIGI,Selective Insurance Group Inc. Common Stock,$73.75,-2.15,-2.833%,4416311439.00,United States,,276571,Finance,Property-Casualty Insurers
SIVB,SVB Financial Group Common Stock,$541.87,-8.61,-1.564%,28164533690.00,United States,,252392,Finance,Major Banks
SLM,SLM Corporation Common Stock,$16.95,-0.05,-0.294%,5681114313.00,United States,,977341,Finance,Finance: Consumer Services
SSB,South State Corporation Common Stock,$87.44,-0.50,-0.569%,6211102348.00,United States,,261265,Finance,Major Banks
TBK,Triumph Bancorp Inc. Common Stock,$81.65,-0.73,-0.886%,2031289435.00,United States,2014,105377,Finance,Major Banks
TCBI,Texas Capital Bancshares Inc. Common Stock,$86.6975,-1.8825,-2.125%,4381948535.00,United States,2003,319311,Finance,Major Banks
TCF,TCF Financial Corporation Common Stock,$47.70,-0.74,-1.528%,7279255543.00,United States,,405793,Finance,Major Banks
TFSL,TFS Financial Corporation Common Stock,$20.88,-0.01,-0.048%,5858490126.00,United States,,66828,Finance,Savings Institutions
TIGR,UP Fintech Holding Ltd American Depositary Share representing fifteen Class A Ordinary Shares,$20.42,-0.57,-2.716%,2878355356.00,China,2019,1960209,Finance,Investment Bankers/Brokers/Service
TREE,LendingTree Inc. Common Stock,$217.91,1.62,0.749%,2860800928.00,United States,,66995,Finance,Finance: Consumer Services
TRMK,Trustmark Corporation Common Stock,$34.98,-0.14,-0.399%,2222539336.00,United States,,306369,Finance,Major Banks
TROW,T. Rowe Price Group Inc. Common Stock,$171.44,-0.43,-0.25%,39079076127.00,United States,1986,357055,Finance,Investment Bankers/Brokers/Service
TW,Tradeweb Markets Inc. Class A Common Stock,$72.90,0.15,0.206%,16704821257.00,United States,2019,132334,Finance,Investment Bankers/Brokers/Service
UBSI,United Bankshares Inc. Common Stock,$39.71,-0.17,-0.426%,5121602889.00,United States,,558832,Finance,Major Banks
UCBI,United Community Banks Inc. Common Stock,$35.18,-0.24,-0.678%,3051382330.00,United States,,358141,Finance,Major Banks
UMBF,UMB Financial Corporation Common Stock,$97.14,0.09,0.093%,4680264164.00,United States,,219533,Finance,Major Banks
UMPQ,Umpqua Holdings Corporation Common Stock,$18.31,-0.14,-0.759%,4035726985.00,United States,,557796,Finance,Savings Institutions
UPST,Upstart Holdings Inc. Common stock,$118.36,3.27,2.841%,8576469875.00,United States,2020,4400632,Finance,Finance: Consumer Services
VIRT,Virtu Financial Inc. Class A Common Stock,$29.51,0.18,0.614%,5678111112.00,United States,2015,326731,Finance,Investment Bankers/Brokers/Service
VLY,Valley National Bancorp Common Stock,$14.28,0.11,0.776%,5792137375.00,United States,,2965630,Finance,Major Banks
WAFD,Washington Federal Inc. Common Stock,$32.99,-0.10,-0.302%,2503656824.00,United States,,406134,Finance,Major Banks
WLTW,Willis Towers Watson Public Limited Company Ordinary Shares,$220.68,-0.46,-0.208%,28461216781.00,United Kingdom,,333265,Finance,Specialty Insurers
WSBC,WesBanco Inc. Common Stock,$36.95,-0.43,-1.15%,2485209963.00,United States,,322642,Finance,Major Banks
WSFS,WSFS Financial Corporation Common Stock,$50.84,-0.19,-0.372%,2415055926.00,United States,,301745,Finance,Major Banks
WTFC,Wintrust Financial Corporation Common Stock,$81.945,-0.545,-0.661%,4661952498.00,United States,,185786,Finance,Major Banks
XP,XP Inc. Class A Common Stock,$38.63,0.64,1.685%,21596447818.00,Brazil,2019,413397,Finance,Investment Bankers/Brokers/Service
ZION,Zions Bancorporation N.A. Common Stock,$57.14,-0.16,-0.279%,9383193674.00,United States,,652520,Finance,Major Banks
