ADV
AFRM
AKAM
CDK
CMPR
CNXC
CSGP
EBAY
EGOV
ETSY
EXLS
HMSY
HQY
LYFT
MELI
NOVT
PDD
PYPL
STMP
TCOM
Z
ZG
