Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
PBA,Pembina Pipeline Corp. Ordinary Shares (Canada),$29.83,0.50,1.705%,16404990125.00,Canada,,1322304,Energy,Oil & Gas Production
PBR,Petroleo Brasileiro S.A.- Petrobras Common Stock,$8.49,0.26,3.159%,55373889468.00,Brazil,,29630034,Energy,Oil & Gas Production
PSX,Phillips 66 Common Stock,$82.26,0.89,1.094%,35941537531.00,United States,,5096363,Energy,Integrated oil Companies
PSXP,Phillips 66 Partners LP Common Units representing limited partner interest in the Partnership,$29.93,1.29,4.504%,6834220570.00,United States,2013,1046810,Energy,Natural Gas Distribution
PTR,PetroChina Company Limited Common Stock,$37.41,-0.66,-1.734%,68468147795.00,China,,426400,Energy,Oil & Gas Production
PXD,Pioneer Natural Resources Company Common Stock,$163.48,1.60,0.988%,35406544174.00,United States,,4275001,Energy,Oil & Gas Production
RIG,Transocean Ltd (Switzerland) Common Stock,$3.79,-0.01,-0.263%,2334735296.00,Switzerland,,31828174,Energy,Oil & Gas Production
RRC,Range Resources Corporation Common Stock,$10.49,0.86,8.93%,2712408196.00,United States,,11538468,Energy,Oil & Gas Production
SHLX,Shell Midstream Partners L.P. Common Units representing Limited Partner Interests,$12.72,0.18,1.435%,5002642911.00,United States,2014,1862998,Energy,Natural Gas Distribution
SLB,Schlumberger N.V. Common Stock,$27.05,-0.20,-0.734%,37823181535.00,France,,22576999,Energy,Oilfield Services/Equipment
SM,SM Energy Company Common Stock,$18.36,2.34,14.607%,2106668701.00,United States,,13149658,Energy,Oil & Gas Production
SNP,China Petroleum & Chemical Corporation Common Stock,$53.29,-1.18,-2.166%,64518847596.00,China,,295182,Energy,Integrated oil Companies
SSL,Sasol Ltd. American Depositary Shares,$14.53,-0.02,-0.137%,9209546500.00,South Africa,,544786,Energy,Oil & Gas Production
SU,Suncor Energy  Inc. Common Stock,$22.02,0.32,1.475%,33527264316.00,Canada,,9915203,Energy,Integrated oil Companies
SUN,Sunoco LP Common Units representing limited partner interests,$31.37,0.09,0.288%,3129298100.00,United States,2012,477453,Energy,Integrated oil Companies
SWN,Southwestern Energy Company Common Stock,$4.55,0.38,9.113%,3068781161.00,United States,,33050163,Energy,Oil & Gas Production
TOT,Total SE,$48.05,0.81,1.715%,126310847542.00,France,,2706490,Energy,Oil & Gas Production
TPL,Texas Pacific Land Corporation Common Stock,$1675.45,134.11,8.701%,12995051570.00,United States,,609795,Energy,Oil & Gas Production
VLO,Valero Energy Corporation Common Stock,$73.70,0.00,0.00%,30111085067.00,United States,,11303789,Energy,Integrated oil Companies
WHD,Cactus Inc. Class A Common Stock,$30.69,0.41,1.354%,2318627014.00,,2018,1977591,Energy,Metal Fabrications
XEC,Cimarex Energy Co Common Stock,$61.65,1.93,3.232%,6338091992.00,United States,,1640762,Energy,Oil & Gas Production
XOM,Exxon Mobil Corporation Common Stock,$56.49,-0.32,-0.563%,239151701108.00,United States,,84414736,Energy,Integrated oil Companies
