Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
APA,APA Corporation Common Stock,$19.72,0.48,2.495%,7451418348.00,United States,,2996769,Energy,Oil & Gas Production
CHK,Chesapeake Energy Corporation Common Stock,$43.455,-0.045,-0.103%,4254552205.00,United States,,141122,Energy,Oil & Gas Production
FANG,Diamondback Energy Inc. Commmon Stock,$77.52,2.35,3.126%,13077286555.00,United States,2012,907271,Energy,Oil & Gas Production
MGEE,MGE Energy Inc,$68.835,-2.155,-3.036%,2489305574.00,United States,,142982,Energy,Electric Utilities: Central
PAA,Plains All American Pipeline L.P. Common Units representing Limited Partner Interests,$9.465,0.155,1.665%,6834224584.00,United States,1998,1110898,Energy,Natural Gas Distribution
PDCE,PDC Energy Inc. Common Stock (Delaware),$35.0575,1.6875,5.057%,3498084047.00,United States,,889275,Energy,Oil & Gas Production
PTON,Peloton Interactive Inc. Class A Common Stock,$107.19,4.45,4.331%,31567633471.00,United States,2019,3516391,Energy,Consumer Electronics/Appliances
VNOM,Viper Energy Partners LP Common Unit,$16.64,0.43,2.653%,2595902799.00,United States,2014,136343,Energy,Oil & Gas Production
WWD,Woodward Inc. Common Stock,$121.53,0.05,0.041%,7661737563.00,United States,,144398,Energy,Industrial Machinery/Components
