Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
EVR,Evercore Inc. Class A Common Stock,$137.40,-1.20,-0.866%,5773993451.00,United States,2006,1246274,Finance,Investment Managers
FAF,First American Corporation (New) Common Stock,$53.62,-0.18,-0.335%,5986407474.00,United States,,2721495,Finance,Specialty Insurers
FBC,Flagstar Bancorp Inc. Common Stock,$47.58,-1.17,-2.40%,2506473814.00,United States,,1844986,Finance,Savings Institutions
FBK,FB Financial Corporation Common Stock,$47.32,0.20,0.424%,2238599796.00,United States,2016,414067,Finance,Major Banks
FBP,First BanCorp. New Common Stock,$12.22,0.18,1.495%,2666754653.00,Puerto Rico,,9776847,Finance,Major Banks
FHI,Federated Hermes Inc. Common Stock,$30.31,0.25,0.832%,3002522027.00,United States,,1867047,Finance,Investment Managers
FHN,First Horizon Corporation Common Stock,$17.26,-0.34,-1.932%,9556357041.00,United States,,33248813,Finance,Major Banks
FINV,FinVolution Group American Depositary Shares,$8.24,-0.23,-2.715%,2519336748.00,United States,2017,4591647,Finance,Finance: Consumer Services
FNB,F.N.B. Corporation Common Stock,$13.17,-0.14,-1.052%,4234459504.00,United States,,6306131,Finance,Major Banks
FNF,FNF Group of Fidelity National Financial Inc. Common Stock,$39.34,-1.74,-4.236%,11454564227.00,United States,2014,10306921,Finance,Specialty Insurers
GDOT,Green Dot Corporation Class A Common Stock $0.001 par value,$49.84,-0.21,-0.42%,2699188120.00,United States,2010,804275,Finance,Finance: Consumer Services
GL,Globe Life Inc. Common Stock,$98.96,-1.08,-1.08%,10220925462.00,United States,,985340,Finance,Life Insurance
GS,Goldman Sachs Group Inc. (The) Common Stock,$344.20,-3.80,-1.092%,119022419056.00,United States,1999,3512317,Finance,Investment Bankers/Brokers/Service
HDB,HDFC Bank Limited Common Stock,$77.80,0.00,0.00%,142913909671.00,India,2001,2556968,Finance,Commercial Banks
HIG,Hartford Financial Services Group Inc. (The) Common Stock,$67.68,-0.47,-0.69%,24196568839.00,United States,,16199887,Finance,Property-Casualty Insurers
HLI,Houlihan Lokey Inc. Class A Common Stock,$66.91,-1.17,-1.719%,4613521447.00,United States,2015,1008624,Finance,Investment Managers
HPP,Hudson Pacific Properties Inc. Common Stock,$27.53,-0.51,-1.819%,4155861131.00,United States,2010,1862251,Finance,Real Estate
