ABBV
ABC
ABT
ADCT
ALC
ANTM
AVNS
BAX
BDX
BFLY
BHC
BHVN
BMY
BSX
CAH
CHE
CI
CMD
CNC
CNMD
COO
CRL
CTLT
CVS
DGX
DVA
EBS
EHC
ELAN
EW
FMS
GKOS
GMED
GSK
HAE
HCA
HIMS
HLF
HRC
HUM
INSP
IQV
JNJ
LH
LLY
MCK
MD
MDT
MMM
MOH
MRK
MSA
MYOV
NUS
NVO
NVRO
NVS
NVST
NVTA
OMI
OSCR
OSH
PBH
PEN
PFE
PHG
PRGO
QGEN
RCUS
RDY
RMD
SEM
SGFY
SNN
STE
SYK
TAK
TARO
TDOC
TEVA
TFX
THC
UHS
UNH
VAR
ZBH
ZTS
