Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
KTB,Kontoor Brands Inc. Common Stock ,$52.78,-0.72,-1.346%,3028096588.00,,2019,1163598,Consumer Non-Durables,Apparel
LEVI,Levi Strauss & Co Class A Common Stock,$25.01,0.02,0.08%,9999618098.00,United States,2019,2111999,Consumer Non-Durables,Apparel
LW,Lamb Weston Holdings Inc. Common Stock ,$80.24,0.32,0.40%,11743531780.00,,2016,927336,Consumer Non-Durables,Packaged Foods
MED,MEDIFAST INC Common Stock,$238.34,3.60,1.534%,2806321460.00,United States,,249639,Consumer Non-Durables,Packaged Foods
MKC,McCormick & Company Incorporated Common Stock,$86.54,0.22,0.255%,23101242720.00,United States,,2363089,Consumer Non-Durables,Packaged Foods
MO,Altria Group Inc.,$50.55,-0.02,-0.04%,93956762010.00,United States,,37172358,Consumer Non-Durables,Farming/Seeds/Milling
NKE,Nike Inc. Common Stock,$137.49,-5.68,-3.967%,216751611612.00,United States,,24965290,Consumer Non-Durables,Shoe Manufacturing
NOMD,Nomad Foods Limited Ordinary Shares,$27.06,-0.02,-0.074%,4772122950.00,,2016,770237,Consumer Non-Durables,Packaged Foods
PFGC,Performance Food Group Company Common Stock,$55.82,1.42,2.61%,7465867729.00,United States,2015,1754750,Consumer Non-Durables,Food Distributors
PM,Philip Morris International Inc Common Stock,$89.25,-1.31,-1.447%,139002578148.00,United States,,10234595,Consumer Non-Durables,Farming/Seeds/Milling
POST,Post Holdings Inc. Common Stock,$106.91,3.15,3.036%,6881531349.00,United States,2012,1051565,Consumer Non-Durables,Packaged Foods
PRMW,Primo Water Corporation Common Stock,$16.56,0.42,2.602%,2662456455.00,Canada,,2119629,Consumer Non-Durables,Beverages (Production/Distribution)
PVH,PVH Corp. Common Stock,$105.78,0.38,0.361%,7520984445.00,United States,,973133,Consumer Non-Durables,Apparel
RL,Ralph Lauren Corporation Common Stock,$121.75,-0.73,-0.596%,8902161061.00,United States,1997,1638585,Consumer Non-Durables,Apparel
RLX,RLX Technology Inc. American Depositary Shares each representing the right to receive one (1) Class A ordinary share,$19.46,0.90,4.849%,30227520992.00,,2021,4465586,Consumer Non-Durables,Farming/Seeds/Milling
SAM,Boston Beer Company Inc. (The) Common Stock,$1105.74,45.74,4.315%,13563399378.00,United States,,157724,Consumer Non-Durables,Beverages (Production/Distribution)
SJM,J.M. Smucker Company (The) New Common Stock,$126.39,2.45,1.977%,13689363337.00,United States,,2867314,Consumer Non-Durables,Packaged Foods
SKX,Skechers U.S.A. Inc. Common Stock,$41.30,-0.30,-0.721%,6514914550.00,United States,1999,1611063,Consumer Non-Durables,Shoe Manufacturing
SNE,Sony Corporation Common Stock,$105.26,-0.08,-0.076%,130356812441.00,Japan,,622238,Consumer Non-Durables,Consumer Electronics/Appliances
STZ,Constellation Brands Inc. Common Stock,$234.70,3.63,1.571%,45510377758.00,United States,,1434308,Consumer Non-Durables,Beverages (Production/Distribution)
SYY,Sysco Corporation Common Stock,$79.70,0.88,1.116%,40679833690.00,United States,,4882543,Consumer Non-Durables,Food Distributors
TAP,Molson Coors Beverage Company Class B Common Stock,$49.20,0.05,0.102%,10665601682.00,Canada,,4443742,Consumer Non-Durables,Beverages (Production/Distribution)
THO,Thor Industries Inc. Common Stock,$142.64,-0.11,-0.077%,7897440616.00,United States,,1173712,Consumer Non-Durables,Homebuilding
THS,Treehouse Foods Inc. Common Stock,$53.94,1.04,1.966%,3014815289.00,United States,,723870,Consumer Non-Durables,Packaged Foods
TPR,Tapestry Inc. Common Stock,$44.69,-0.67,-1.477%,12416585717.00,United States,,5210235,Consumer Non-Durables,Apparel
TR,Tootsie Roll Industries Inc. Common Stock,$33.98,0.14,0.414%,2310009739.00,United States,,495931,Consumer Non-Durables,Specialty Foods
TSN,Tyson Foods Inc. Common Stock,$76.75,-0.18,-0.234%,27993229736.00,United States,,5884112,Consumer Non-Durables,Meat/Poultry/Fish
UA,Under Armour Inc. Class C Common Stock,$19.25,-0.17,-0.875%,8759775390.00,United States,2016,3447131,Consumer Non-Durables,Apparel
UAA,Under Armour Inc. Class A Common Stock,$23.43,-0.04,-0.17%,10661898046.00,United States,,4049168,Consumer Non-Durables,Apparel
USFD,US Foods Holding Corp. Common Stock,$38.00,1.15,3.121%,8392247826.00,United States,2016,3637464,Consumer Non-Durables,Food Distributors
UTZ,Utz Brands Inc Class A Common Stock ,$26.56,1.32,5.23%,3203671848.00,United States,2018,1796962,Consumer Non-Durables,Packaged Foods
VFC,V.F. Corporation Common Stock,$79.63,0.33,0.416%,31198372036.00,United States,,9526813,Consumer Non-Durables,Apparel
VGR,Vector Group Ltd. Common Stock,$14.61,0.31,2.168%,2252783530.00,United States,,2122633,Consumer Non-Durables,Farming/Seeds/Milling
WCC,WESCO International Inc. Common Stock,$91.00,1.34,1.495%,4564726621.00,United States,1999,732225,Consumer Non-Durables,Telecommunications Equipment
WGO,Winnebago Industries Inc. Common Stock,$81.45,-1.77,-2.127%,2733014025.00,United States,,865146,Consumer Non-Durables,Homebuilding
WWW,Wolverine World Wide Inc. Common Stock,$40.33,-0.15,-0.371%,3326383474.00,United States,,1099935,Consumer Non-Durables,Shoe Manufacturing
YETI,YETI Holdings Inc. Common Stock,$75.03,2.02,2.767%,6540755631.00,United States,2018,1635995,Consumer Non-Durables,Recreational Products/Toys
YSG,Yatsen Holding Limited American Depositary Shares each representing four Class A ordinary shares,$14.20,0.11,0.781%,8968910905.00,China,2020,2248536,Consumer Non-Durables,Package Goods/Cosmetics
