AAPL
ACIW
ADBE
ADI
ADP
ADSK
ALGM
ALRM
ALTR
AMAT
AMBA
AMD
AMKR
ANSS
API
ASML
ATVI
AVGO
AVT
AZPN
BAND
BIDU
BILI
BL
BLKB
BMBL
BRKS
BSY
BTRS
CARG
CCMP
CDNS
CERN
CERT
CHKP
CHNG
CHX
COMM
COUP
CREE
CRNC
CRSR
CRTO
CRUS
CRWD
CSCO
CSIQ
CSOD
CTSH
CTXS
CVLT
CYBR
DADA
DBX
DCT
DDOG
DIOD
DOCU
DOX
DOYU
DSGX
DSP
EA
EPAY
ERIC
FB
FEYE
FFIV
FISV
FLEX
FORM
FROG
FSLR
FTNT
GDRX
GLUU
GOOG
GOOGL
HCAT
HIMX
INOV
INTC
INTU
IPGP
IPHI
JAMF
JCOM
JKHY
JOBS
KC
KLIC
LECO
LOGI
LPSN
LRCX
LSCC
LTRPB
MANH
MCFE
MCHP
MDRX
MGNI
MIDD
MIME
MOMO
MPWR
MRVL
MSFT
MSTR
MTCH
MTLS
MTSI
MU
MXIM
NATI
NCNO
NICE
NLOK
NTAP
NTCT
NTES
NTNX
NUAN
NVDA
NXPI
OKTA
OMCL
ON
OTEX
PCTY
PEGA
PFPT
PLTK
PLXS
POWI
PRFT
PS
PTC
QCOM
QLYS
QRVO
RCII
RMBS
RP
RXT
SABR
SANM
SEDG
SGMS
SIMO
SINA
SLAB
SMTC
SNPS
SPLK
SPSC
SPWR
SSNC
STNE
STX
SUMO
SVMK
SWKS
SYNA
TEAM
TENB
TRIP
TSEM
TTEC
TTWO
TWOU
TXN
UCTT
UPWK
VIAV
VNET
VRNS
VRNT
VRSK
VRSN
VSAT
WB
WDAY
WDC
WIX
XLNX
XM
XPER
YNDX
YY
ZBRA
ZI
ZM
ZNGA
ZS
